pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - Powell - Understanding brain donation decisions  Predictors of indecision and change over.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Raia - One‐carbon metabolism modulates miR‐29a DNA methylation crosstalk in Alzheimer s.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rädke - Efficacy and cost‐effectiveness of extended nursing roles in dementia care  Results.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ryoo - Metabolic and vascular contributions to dementia  Soluble epoxide hydrolase‐derived.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shen - Process evaluation of a digital health intervention for dementia caregivers .pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Shi - Five‐year change in sleep duration and incident Alzheimer s Disease and Related.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Snyder - Integrating a motor domain enhances disease severity scales in an FTD‐ALS spectrum.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Soleimani‐Meigooni - Calibration of multisite raters for prospective visual reads of.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Soltaninejad - White matter hyperintensities precede other biomarkers in GRN frontotemporal.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sood - Relationship of antihypertensives with late‐life cognitive decline and.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Soreq - Contactless longitudinal monitoring in the home characterizes aging and Alzheimer s.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Synnott - Characterizing financial risk from out‐of‐pocket expenditures across dementia.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Thunell - Shifting care patterns  How Medicaid policies shape family and formal care use.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tong - Association of dietary sodium intake with late‐life cognitive decline and postmortem.pdf,August,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Townsend - Estimating the preclinical Alzheimer s disease course with multimodal data.pdf,August,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Tsang - Stroke heart syndrome and risk of incident dementia among patients with first‐ever.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vitali - Carotid endarterectomy mitigates Alzheimer s disease and non Alzheimer s disease.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vromen - Cerebrospinal fluid proteomic associations of APOE genotypes reveal distinct.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Clinical progression on CDR‐SB   Progression‐free time at each 0 5 unit level in.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Engaging Chinese and Korean American communities in dementia research  A journey of.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Weltings - Everyday functioning in young onset dementia  differences between diagnostic.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Williams - Dementia prevalence in the Wisconsin Longitudinal Study.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yaari - Donanemab in preclinical Alzheimer s disease  Screening and baseline data from.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zeighami - Sex differences in vulnerability to tau pathology  Impact on cognitive decline.pdf,August,Yes,sex-aware main focus,sex; sex differences,sex; sex differences; sex interaction; sex-specific,4
Alzheimer s   Dementia - 2025 - Zhang - Compression of cognitive decline and cognitive resilience in extreme longevity.pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhang - Real‐world observations of GLP‐1 receptor agonists and SGLT‐2 inhibitors as.pdf,August,Yes,sex-aware consideration,none,sex as a covariate; sex-specific,2
Alzheimer s   Dementia - 2025 - Zhu - Employment  volunteering  and health‐related resource use in pre‐symptomatic AD .pdf,August,No,none,none,,0
Alzheimer s   Dementia - 2025 - Abughofah - The Cognitive Change Index in the Alzheimer s Disease Research Center setting .pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Acevedo‐Fontánez - Skeletal muscle adiposity and cognitive decline in a biracial cohort .pdf,September,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Almeida - Ginseng extract improves synaptic resiliency  A key factor for healthy cognitive.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Al‐Amin - Apolipoprotein  4 exacerbates white matter impairment in a mouse model of A .pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Andrews - The role of genomic‐informed risk assessments in predicting dementia outcomes.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bachmann - Predicting cognitive decline with amyloid‐PET  plasma p‐tau217  A 42 40  and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bangs - Proteomic subtyping of Alzheimer s disease CSF links blood brain barrier.pdf,September,Yes,sex-aware consideration,none,sex-specific; stratified by sex,2
Alzheimer s   Dementia - 2025 - Barber - Modeling presynaptic inhibition by the amyloid precursor protein demonstrates one.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bedford - Alzheimer s disease associated PLCG2 variants alter microglial state and function.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bhembre - Direct evidence for dendritic spine compensation and regeneration in Alzheimer s.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Biel - A systematic comparison of ATN biomarkers for monitoring longitudinal cognitive.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Buchanan - Differential impact of manganese on glutamate clearance  electroencephalography .pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Chan - Gamma sensory stimulation in mild Alzheimer s dementia  An open‐label extension.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chaunsali - Degradation of perineuronal nets in hippocampal CA2 explains the loss of social.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Lecanemab treatment for Alzheimer s Disease of varying severities and associated.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chong Chie - Neurometabolic and vascular dysfunction as an early diagnostic for Alzheimer s.pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Coulborn - Combining plasma neurofilament light chain and frontotemporal atrophy improves.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dacey - Alzheimer s disease multi‐ancestry genome‐wide interaction and stratified study.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dass - Examination of metabolic syndrome in Down syndrome and association with dementia.pdf,September,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - David - Catecholaminergic nucleus integrity and Alzheimer s pathology  symptoms  and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dempsey - Validation of a MIND diet screener in older adults.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Diaz - Neurocognitive disorders  depression  and associated factors in younger and older.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Doecke - Multivariate models using NULISAseq and plasma p‐tau217 for staging Alzheimer s.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dong - Harmful impact of blood lead on the prevalence of Alzheimer s disease among.pdf,September,Yes,sex-aware consideration,none,menopause; sex differences; stratified by gender,3
Alzheimer s   Dementia - 2025 - Du - Tau mediates the impact of amyloid and vascular disease burden on the trajectory of.pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Elasfar - Identifying gait differences between Alzheimer s disease and dementia with Lewy.pdf,September,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - George - The Neighborhoods Study  Examining the social exposome in Alzheimer s disease and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Goodheart - Towards optimizing the diagnosis of Lewy body dementia  Lessons from the NACC.pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Goodwin - Classification of AD and bvFTD using neuropsychological and neuropsychiatric.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hayes - The impact of arteriolosclerosis on cognitive impairment in decedents without.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Heffernan - Association between low‐frequency oscillations in blood pressure variability.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Heikal - The Egyptian Dementia Network  EDN   Baseline characteristics from the first.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hosseinkhani - Plasma and feces multiomics unveil cognition‐associated perturbations of.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Intzandt - Exploring sex‐specific risk factors in cognitive decline  Insights into.pdf,September,Yes,sex-aware main focus,sex,estrogen; menopause; sex; sex differences; sex specific; sex-specific; sex-stratified,7
Alzheimer s   Dementia - 2025 - Jacobs - Body mass index and blood volume influence plasma biomarkers and positron emission.pdf,September,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Kang - APOE4 modulates the association between DTI‐ALPS index and Alzheimer s pathologies.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Katsumi - Dissociable spatial topography of cortical atrophy in early‐onset and late‐onset.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kim - Cerebrospinal fluid proteins in relation to longitudinal cognitive trajectories.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kim - Using memory recall response time on digital cognitive testing to detect subtle.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kosa - Differential effects of age and sex on tau pathology propagation in the htau mouse.pdf,September,Yes,sex-aware main focus,sex,menopause; sex; sex differences,3
Alzheimer s   Dementia - 2025 - Kuehn - Fecal short‐chain fatty acids vary by sex and amyloid status.pdf,September,Yes,sex-aware main focus,sex,estrogen; hormonal factors; menopause; sex; sex differences; sex interaction; sex-specific,7
Alzheimer s   Dementia - 2025 - Kuhn - SCD‐plus features and AD biomarkers in cognitively unimpaired samples  A.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lanskey - Alzheimer s disease and its progression reduce pyramidal cell gain and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Bridging the gap  addressing NACC s evolving cognition batteries across UDS versions.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lee - Longitudinal plasma proteomics  relation to incident Alzheimer s disease dementia and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Biological and social reproductive factors and late‐life cognitive function in.pdf,September,Yes,sex-aware consideration,none,estrogen; female-specific; gender-specific; hormonal factors; male-specific; menopause; sex differences; sex specific; sex-specific,9
Alzheimer s   Dementia - 2025 - Li - Entwined processes in Alzheimer s disease  Brain cellular senescence and Alzheimer s.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - GRPa‐PRS  A risk stratification method to identify genetically‐regulated pathways in.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lorenzini - Cortical thickness subtypes in cognitively unimpaired individuals  Differential.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Low - Neighborhood deprivation and midlife cognition  Evidence of a modifiable vascular.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Manuilova - Elecsys CSF AD immunoassays  Sample stability for a new pre‐analytical protocol.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Masserini - Therapeutic strategies in vascular cognitive impairment  A systematic review.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Misiura - Not just the medial temporal lobe  Precuneus and posterior cingulate volumes.pdf,September,Yes,sex-aware consideration,none,sex differences; sex-specific; testosterone,3
Alzheimer s   Dementia - 2025 - Naftali - Impact of cerebral small vessel disease on cognitive outcomes in early age at.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Namdul - Community‐based participatory research on Alzheimer s disease and related-2.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Namdul - Community‐based participatory research on Alzheimer s disease and related.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Oomens - The Consortium for Clarity in ADRD Research Through Imaging  CLARiTI   Overview of.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Osei - Diagnostic potential of near‐infrared spectroscopy in mild cognitive impairment and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pascual‐Lucas - Safety  tolerability  immunogenicity  and efficacy of ABvac40 active.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pavlik - Cognitive reserve predicts baseline tau burden in the U S  POINTER trial imaging.pdf,September,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Pedersen - Variability of longitudinal sleep monitoring in amyloid‐negative and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rizvi - Does education promote resilience and brain health in those with exceptional.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rotblatt - Impact of regional white matter hyperintensity patterns on cognitive.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sachs - Multi‐site video‐based assessment with the NACC UDS‐Version 3 battery  Design and.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Santiago‐Mejias - Addressing language challenges in bilingual neuropsychological.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sezgin - Recommendations for the development and use of technology to support people living.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sugimoto - Efficacy of a multidomain intervention in older adults with vascular risks  The.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tanley - Subclinical vascular burden in relation to cognitive decline and impairment  The.pdf,September,Yes,sex-aware consideration,none,estrogen,1
Alzheimer s   Dementia - 2025 - Venkatesh - Integrative multi‐omics approaches identify molecular pathways and improve.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Verberk - Evidence‐based standardized sample handling protocol for accurate blood‐based.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wisch - Comparison of amyloid chronicity and EYO in autosomal dominant Alzheimer s disease.pdf,September,Yes,sex-aware consideration,none,sex as a covariate,1
Alzheimer s   Dementia - 2025 - Woo - Plasma p‐tau217 and A 42 40 as markers of A  pathology in the Lewy body continuum.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xiao - Effects of a virtual iSupport Program on carers and people with dementia.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ye - APOE  4 linked effects on clinical features and neuropathology in dementia with Lewy.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yu - Mitochondrial haplogroups  but not heteroplasmy  are associated with midlife cognitive.pdf,September,No,none,none,,0
Alzheimer s   Dementia - 2024 - Avila‐Rieger - Early life exposure to structural sexism and late‐life memory trajectories.pdf,October,Yes,sex-aware main focus,sex,sex; sex differences,2
Alzheimer s   Dementia - 2024 - Devanarayan - Plasma pTau217 ratio predicts continuous regional brain tau accumulation in.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2024 - Kern - White matter free water mediates the associations between placental growth factor .pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2024 - Rea Reyes - Visual read of  F‐18 florquinitau PET that includes and extends beyond the.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2024 - Scarpa - Post mortem validation and mechanistic study of UCB‐J in progressive supranuclear.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2024 - Yi - Tau pathway‐based gene analysis on PET identifies CLU and FYN in a Korean cohort.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Arnold - Stratifying dementia risk factors  A prediction model and hypothesis‐driven.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Azevedo - Motoric cognitive risk syndrome  prevalence and associated sociodemographic and.pdf,October,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Baek - The influence of depression onset timing after gastrointestinal diseases on dementia.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Balogun - Cross‐cohort validation and cutpoint estimation of the Janssen plasma p‐tau217 .pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Barahona‐López - Personalized prevention of neurodegenerative diseases  scoping review and.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bittner - Biomarker treatment effects in two phase 3 trials of gantenerumab.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bolton - Increased neuroplastic activity in the pathogenesis of Alzheimer s disease.pdf,October,Yes,sex-aware consideration,none,estrogen; stratified by sex,2
Alzheimer s   Dementia - 2025 - Buchholz - The tau isoform 1N4R confers vulnerability of MAPT knockout human iPSC‐derived.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cacciaglia - Soluble A  pathology predicts neurodegeneration and cognitive decline.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cai - Educational attainment  A   tau  and structural brain reserve in Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chan - Comparable performance of the NACC Uniform Data Set version 3 neuropsychological.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Challenges in multimorbidity and cognitive function studies  A call for rigorous.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Genetic variation in the Nr1d1 transcription factor binding site shapes.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - Repetitive transcranial magnetic stimulation‐driven modulation of unbiased.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Coburn - Human microglia differentially respond to  ‐amyloid  tau  and combined Alzheimer s.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Crowley - Development of a core outcome set for clinical trials of interventions to improve.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Custodio - Functional capacity in Peruvian people with Alzheimer s disease and.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Daniilidou - Enhancing diagnostic precision in Alzheimer s disease  Impact of comorbidities.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Devanarayan - Combining CSF MTBR‐tau243 and plasma pTau217 ratio enhances the prediction of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dori - Thyroid function and cognitive health  rethinking the relationship between .pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dyck - Long‐term safety and efficacy of lecanemab in early Alzheimer s disease  Results.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Edwards - Interactive effects of blood brain barrier breakdown and Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Eissman - Genetic regulation of the metabolome differs by sex  Alzheimer s disease stage .pdf,October,Yes,sex-aware main focus,sex,sex; sex differences; sex-specific; sex-stratified,4
Alzheimer s   Dementia - 2025 - Erani - Neuropsychiatric symptom phenotypes for early detection of risk in older adults.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ghanbarian - Prognostic value of plasma glial fibrillary acidic protein in cognitively.pdf,October,Yes,sex-aware consideration,none,sex differences; sex stratified; sex-specific; sex-stratified; sex-stratified analysis; stratified by sex,6
Alzheimer s   Dementia - 2025 - Gomez - Plasma proteomic characterization of motoric cognitive risk and mild cognitive.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Goniotaki - Proteomic analysis links truncated tau to lysosome motility  autophagy  and.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Griswold - Generalizability of tau and amyloid plasma biomarkers in Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Guglielmo - Chemogenetic manipulation of learning‐tagged neurons is sufficient to rescue.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Havenon - Unraveling disparities in county‐level dementia diagnosis prevalence across the.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hou - Cumulative and variable depression symptom exposure and incident dementia  Panel data.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hovde - Inhibition of Acyl‐CoenzymeA  Cholesterol Acyltransferase 1 promotes shedding of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Humblet‐Baron - A systems immunology analysis of Alzheimer s disease reveals an age‐ and.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hyman - Mesoscopic vascular alterations in Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Jeon - Eligibility for lecanemab and donanemab in Korea under Appropriate Use.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kang - Putaminal hypermetabolism identifies Lewy body co‐pathology in Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Karahan - Deletion of neuronal Idol ameliorates Alzheimer s disease related pathologies via.pdf,October,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - King - Circadian rhythms and the light‐dark cycle interact to regulate amyloid‐beta plaque.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Effect of SSRIs on clinical progression in amnestic mild cognitive impairment.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lin - ACLY regulates autolysosome acidification through tubulin acetylation‐mediated.pdf,October,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Liu - Plasma proteomic Alzheimer s risk score  Biological age clock and pseudotime.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Sex differences in the association between energy‐adjusted dietary inflammatory index.pdf,October,Yes,sex-aware main focus,sex; sex differences,male-specific; sex; sex differences; sex interaction; sex specific; sex-specific; sex-stratified; stratified by sex,8
Alzheimer s   Dementia - 2025 - Magana‐Ramirez - Neuropsychiatric symptoms and emerging dementia in people with Down.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mangalmurti - Microglial CLEC7A restrains amyloid beta plaque pathology in a mouse model of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mani - Later‐life cognitive function at the intersection of gender and occupation across.pdf,October,Yes,sex-aware main focus,gender,gender; sex differences,2
Alzheimer s   Dementia - 2025 - Marino - Higher vitamin B12 from mid‐ to late life is related to slower rates of cognitive.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - McCoy - Predicting hospice eligibility among dementia patients using language models.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - McKeever - Polygenic risk discriminates Lewy body dementia from Alzheimer s disease.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Menta - MtDNA‐depleted neuronal cell transcriptomes reveal Alzheimer s disease‐related.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Miners - CSF markers of vascular injury correlate with tau and cognitive decline in early.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mirza - Cognitive profiles at presentation and subsequent cognitive decline and quality of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Moored - Blue spaces and incident dementia  Differences by geospatial and historical.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Moreno - APOE isoform‐associated tau oligomer polymorphs differ in synaptotoxicity and.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Morgan - Dementia Data Landscape 1  Cohorts.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nichols - Estimating cognitive decline in longitudinal studies with high mortality and a.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Njamnshi - Tablet‐based Cognitive Assessment Tool  TabCAT  in a multisite study of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Oveisgharan - Amyloid beta binding partners in the brain tissue of older adults.pdf,October,Yes,sex-aware consideration,none,estrogen; sex differences,2
Alzheimer s   Dementia - 2025 - Patsyuk - Locus coeruleus‐entorhinal cortex tract integrity is linked to plasma tau and.pdf,October,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Pirraglia - Subtypes of multiple‐etiology dementias and the heterogeneous impact of APOE.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Prufer Q C Araujo - Blood‐based Alzheimer s disease biomarkers in a behavioral neurology.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pyun - Polygenic risk score predicts pathologically confirmed cerebral amyloid angiopathy.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ramirez - Long‐read sequencing reveals genomic and epigenomic variation in the dark genome.pdf,October,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Renli - EEG‐based information transfer paths during motion discrimination  Detectable.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rong - Real‐world prediction of early‐onset dementia by health record data  A multi‐center.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rousset - Genetic and environmental contributions to variation in plasma phosphorylated tau.pdf,October,Yes,sex-aware consideration,none,female-specific; male-specific; sex differences; sex specific; sex-specific,5
Alzheimer s   Dementia - 2025 - Russo - Predicting conversion in cognitively normal and mild cognitive impairment.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Saha - Access of medication review for people living with dementia  An analysis of.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Saracino - Quantifying multimodal longitudinal brain changes in presymptomatic C9orf72.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sarwar - Identifying dementia risk profiles for targeted interventions  A latent class.pdf,October,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Sekiya - Association between visual hallucinations and  ‐synuclein oligomers in patients.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sideman - Facilitators and challenges in the implementation of the Care Ecosystem at six.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Singh - Neighborhood support as a protective factor for cognition  Associations with sleep .pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Spoto - Quantifying diagnostic signal decay in dementia  a national study of Medicare.pdf,October,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Suemoto - Apolipoprotein E and Alzheimer s disease pathology in a diverse autopsy study.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sundaresh - PP2A methylesterase  PME‐1  and PP2A methyltransferase  LCMT‐1  control.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tambo - Vasoactive neuropeptide dysregulation  A novel mechanism of microvascular.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tu - Subjective sleep characteristics in non‐demented adults  domain‐specific associations.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Um - Neuroimaging correlates and biomarker performance of a fully automated plasma p‐tau217.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Uzun - APOE  4 disrupts neuronal and network‐level function in the anterior olfactory.pdf,October,Yes,sex-aware main focus,sex,estrogen; sex; sex differences; sex-specific,4
Alzheimer s   Dementia - 2025 - VandeBunte - Plasma placental growth factor as a susceptibility biomarker for longitudinal.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vázquez‐Oliver - Targeting dysregulated CB1 receptors in a Down syndrome mouse model.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wu - Combined use of plasma p‐tau217  NfL  and GFAP predicts domain‐specific cognitive.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xu - Polygenic scores of Core 1 Alzheimer s disease biomarkers predict early cognitive and.pdf,October,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Ye - Regional cortical network atrophy predicts progression to dementia in the Lewy body.pdf,October,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yu - Roles of blood monocytes carrying TREM2R47H mutation in pathogenesis of Alzheimer s.pdf,October,No,none,none,,0
